,threshold,target1,target2,category1,category2,target1_index,target2_index,score,guess,actual,correct,sd_result
2010,0.75,y1,B2_1,y,B2,13,10,-0.0,0,0,1,cr
2011,0.75,y1,B2_2,y,B2,13,11,0.34,0,0,1,cr
2012,0.75,y1,B2_3,y,B2,13,12,-0.65,0,0,1,cr
2013,0.75,y1,y1,y,y,13,13,1.0,1,1,1,hit
2014,0.75,y1,y2,y,y,13,14,0.87,1,1,1,hit
2015,0.75,y1,y3,y,y,13,15,0.95,1,1,1,hit
2016,0.75,y2,.,y,.,14,0,0.17,0,0,1,cr
2017,0.75,y2,A1_1,y,A1,14,1,-0.56,0,0,1,cr
2018,0.75,y2,A1_2,y,A1,14,2,-0.33,0,0,1,cr
2019,0.75,y2,A1_3,y,A1,14,3,-0.22,0,0,1,cr
2020,0.75,y2,A2_1,y,A2,14,4,0.14,0,0,1,cr
2021,0.75,y2,A2_2,y,A2,14,5,0.06,0,0,1,cr
2022,0.75,y2,A2_3,y,A2,14,6,0.36,0,0,1,cr
2023,0.75,y2,B1_1,y,B1,14,7,-0.55,0,0,1,cr
2024,0.75,y2,B1_2,y,B1,14,8,-0.72,0,0,1,cr
2025,0.75,y2,B1_3,y,B1,14,9,-0.14,0,0,1,cr
2026,0.75,y2,B2_1,y,B2,14,10,0.3,0,0,1,cr
2027,0.75,y2,B2_2,y,B2,14,11,0.6,0,0,1,cr
2028,0.75,y2,B2_3,y,B2,14,12,-0.38,0,0,1,cr
2029,0.75,y2,y1,y,y,14,13,0.87,1,1,1,hit
2030,0.75,y2,y2,y,y,14,14,1.0,1,1,1,hit
2031,0.75,y2,y3,y,y,14,15,0.97,1,1,1,hit
2032,0.75,y3,.,y,.,15,0,0.09,0,0,1,cr
2033,0.75,y3,A1_1,y,A1,15,1,-0.62,0,0,1,cr
2034,0.75,y3,A1_2,y,A1,15,2,-0.33,0,0,1,cr
2035,0.75,y3,A1_3,y,A1,15,3,-0.07,0,0,1,cr
2036,0.75,y3,A2_1,y,A2,15,4,0.11,0,0,1,cr
2037,0.75,y3,A2_2,y,A2,15,5,0.08,0,0,1,cr
2038,0.75,y3,A2_3,y,A2,15,6,0.21,0,0,1,cr
2039,0.75,y3,B1_1,y,B1,15,7,-0.57,0,0,1,cr
2040,0.75,y3,B1_2,y,B1,15,8,-0.68,0,0,1,cr
2041,0.75,y3,B1_3,y,B1,15,9,-0.12,0,0,1,cr
2042,0.75,y3,B2_1,y,B2,15,10,0.16,0,0,1,cr
2043,0.75,y3,B2_2,y,B2,15,11,0.52,0,0,1,cr
2044,0.75,y3,B2_3,y,B2,15,12,-0.53,0,0,1,cr
2045,0.75,y3,y1,y,y,15,13,0.95,1,1,1,hit
2046,0.75,y3,y2,y,y,15,14,0.97,1,1,1,hit
2047,0.75,y3,y3,y,y,15,15,1.0,1,1,1,hit
